entry_date,exit_date,direction,entry_level,exit_level,pnl_pct,reason,exit_reason,hold_days
2012-06-05,2012-06-06,SHORT,122.77694529588774,127.35956046675469,-3.732,signal_entry,signal_flip,1
2012-06-07,2012-06-08,LONG,127.35956046675469,123.33477895251872,-3.16,signal_entry,signal_flip,1
2012-06-08,2012-06-11,SHORT,123.33477895251872,125.35152557764783,-1.635,signal_entry,signal_flip,3
2012-06-18,2012-06-19,LONG,125.35152557764783,124.92492853278304,-0.34,signal_entry,signal_flip,1
2012-06-22,2012-06-25,SHORT,124.92492853278304,116.96203731005822,6.374,signal_entry,signal_flip,3
2012-06-26,2012-06-27,LONG,116.96203731005822,117.2093917244519,0.211,signal_entry,signal_flip,1
2012-06-27,2012-06-28,SHORT,117.2093917244519,115.4996265240915,1.459,signal_entry,signal_flip,1
2012-06-28,2012-06-29,LONG,115.4996265240915,117.3327631401266,1.587,signal_entry,signal_flip,1
2012-06-29,2012-07-02,SHORT,117.3327631401266,118.12796671642006,-0.678,signal_entry,signal_flip,3
2012-07-02,2012-07-03,LONG,118.12796671642006,117.95148967701317,-0.149,signal_entry,signal_flip,1
2012-07-03,2012-07-04,SHORT,117.95148967701317,118.868550111874,-0.777,signal_entry,signal_flip,1
2012-07-05,2012-07-06,LONG,118.868550111874,119.7759997389548,0.763,signal_entry,signal_flip,1
2012-07-09,2012-07-10,SHORT,119.7759997389548,116.02472482109489,3.132,signal_entry,signal_flip,1
2012-07-10,2012-07-11,LONG,116.02472482109489,116.09597558318706,0.061,signal_entry,signal_flip,1
2012-07-12,2012-07-13,SHORT,116.09597558318706,116.79454690374827,-0.602,signal_entry,circuit_breaker,1
2012-07-30,2012-07-31,LONG,117.1012594939948,114.3779594234008,-2.326,signal_entry,circuit_breaker,1
2012-08-14,2012-08-15,SHORT,120.93002883669759,119.81100694966406,0.925,signal_entry,circuit_breaker,1
2012-08-29,2012-08-30,SHORT,119.6484665928998,116.95885254998184,2.248,signal_entry,circuit_breaker,1
2012-09-13,2012-09-14,SHORT,126.92326782467579,133.33030371855506,-5.048,signal_entry,circuit_breaker,1
2012-09-28,2012-10-01,LONG,138.111958813611,138.111958813611,0.0,signal_entry,signal_flip,3
2012-10-01,2012-10-02,SHORT,138.111958813611,138.111958813611,-0.0,signal_entry,signal_flip,1
2012-10-02,2012-10-03,LONG,138.111958813611,138.111958813611,0.0,signal_entry,signal_flip,1
2012-10-03,2012-10-08,SHORT,138.111958813611,135.6220573953037,1.803,signal_entry,signal_flip,5
2012-10-08,2012-10-09,LONG,135.6220573953037,137.02504400087668,1.034,signal_entry,circuit_breaker,1
2012-10-23,2012-10-24,LONG,129.6186184399111,128.39827235140066,-0.941,signal_entry,circuit_breaker,1
2012-11-07,2012-11-08,LONG,128.92636146528997,125.89575018539121,-2.351,signal_entry,signal_flip,1
2012-11-08,2012-11-09,SHORT,125.89575018539121,126.42642221279533,-0.422,signal_entry,signal_flip,1
2012-11-13,2012-11-14,LONG,126.42642221279533,123.45059544666535,-2.354,signal_entry,circuit_breaker,1
2012-11-29,2012-11-30,SHORT,118.47815419213187,118.45534633318356,0.019,signal_entry,signal_flip,1
2012-11-30,2012-12-03,LONG,118.45534633318356,116.49153023213799,-1.658,signal_entry,signal_flip,3
2012-12-03,2012-12-04,SHORT,116.49153023213799,115.94741927745591,0.467,signal_entry,signal_flip,1
2012-12-04,2012-12-05,LONG,115.94741927745591,119.52927740786457,3.089,signal_entry,signal_flip,1
2012-12-05,2012-12-06,SHORT,119.52927740786457,117.82614151152356,1.425,signal_entry,circuit_breaker,1
2012-12-20,2012-12-21,SHORT,123.3049160323895,122.21709655789019,0.882,signal_entry,circuit_breaker,1
2013-01-07,2013-01-08,SHORT,126.36848818213268,127.44444922394516,-0.851,signal_entry,circuit_breaker,1
2013-01-22,2013-01-23,SHORT,130.0664769592153,129.67923552671894,0.298,signal_entry,signal_flip,1
2013-01-23,2013-01-24,LONG,129.67923552671894,126.56124272216996,-2.404,signal_entry,circuit_breaker,1
2013-02-07,2013-02-08,LONG,133.809917139852,134.6261239594395,0.61,signal_entry,signal_flip,1
2013-02-08,2013-02-11,SHORT,134.6261239594395,134.6261239594395,-0.0,signal_entry,circuit_breaker,3
2013-02-27,2013-02-28,LONG,127.68705852449942,128.5053565941876,0.641,signal_entry,circuit_breaker,1
2013-03-14,2013-03-15,SHORT,123.98402162164791,124.16236249243408,-0.144,signal_entry,circuit_breaker,1
2013-04-01,2013-04-02,SHORT,124.40249192185242,121.0369982209333,2.705,signal_entry,signal_flip,1
2013-04-02,2013-04-03,LONG,121.0369982209333,120.10525272098573,-0.77,signal_entry,signal_flip,1
2013-04-05,2013-04-08,SHORT,120.10525272098573,123.06532407506447,-2.465,signal_entry,signal_flip,3
2013-04-08,2013-04-09,LONG,123.06532407506447,123.21254540981485,0.12,signal_entry,signal_flip,1
2013-04-09,2013-04-10,SHORT,123.21254540981485,123.27940509470976,-0.054,signal_entry,signal_flip,1
2013-04-10,2013-04-11,LONG,123.27940509470976,122.23429182312677,-0.848,signal_entry,signal_flip,1
2013-04-11,2013-04-12,SHORT,122.23429182312677,121.35825713111565,0.717,signal_entry,signal_flip,1
2013-04-12,2013-04-15,LONG,121.35825713111565,117.12432447724515,-3.489,signal_entry,signal_flip,3
2013-04-16,2013-04-17,SHORT,117.12432447724515,117.64030633756119,-0.441,signal_entry,signal_flip,1
2013-04-17,2013-04-18,LONG,117.64030633756119,117.69619731465949,0.048,signal_entry,signal_flip,1
2013-04-18,2013-04-19,SHORT,117.69619731465949,119.69814713197187,-1.701,signal_entry,signal_flip,1
2013-04-23,2013-04-24,LONG,119.69814713197187,117.74507675539455,-1.632,signal_entry,signal_flip,1
2013-04-24,2013-04-25,SHORT,117.74507675539455,116.07356185204536,1.42,signal_entry,signal_flip,1
2013-04-25,2013-04-26,LONG,116.07356185204536,114.98199506873914,-0.94,signal_entry,circuit_breaker,1
2013-05-10,2013-05-13,SHORT,115.62675728516959,116.21968741807561,-0.513,signal_entry,circuit_breaker,3
2013-05-27,2013-05-28,SHORT,115.34607757119174,116.3891805965596,-0.904,signal_entry,circuit_breaker,1
2013-06-11,2013-06-12,LONG,112.00712567911253,112.00712567911253,0.0,signal_entry,circuit_breaker,1
2013-06-26,2013-06-27,SHORT,97.428703680853,96.4556260981869,0.999,signal_entry,circuit_breaker,1
2013-07-12,2013-07-15,LONG,94.36456953166552,92.6144332416005,-1.855,signal_entry,signal_flip,3
2013-07-15,2013-07-16,SHORT,92.6144332416005,93.3175419087291,-0.759,signal_entry,circuit_breaker,1
2013-07-30,2013-07-31,LONG,90.71238714530362,91.44820423476588,0.811,signal_entry,circuit_breaker,1
2013-08-14,2013-08-15,SHORT,95.07351710980839,95.19747495229076,-0.13,signal_entry,circuit_breaker,1
2013-09-03,2013-09-04,SHORT,99.32522757349578,98.31224516973522,1.02,signal_entry,signal_flip,1
2013-09-04,2013-09-05,LONG,98.31224516973522,96.41781951006107,-1.927,signal_entry,signal_flip,1
2013-09-06,2013-09-09,SHORT,96.41781951006107,99.63671087179127,-3.338,signal_entry,signal_flip,3
2013-09-10,2013-09-11,LONG,99.63671087179127,97.63873208211675,-2.005,signal_entry,signal_flip,1
2013-09-16,2013-09-17,SHORT,97.63873208211675,93.4666715131078,4.273,signal_entry,signal_flip,1
2013-09-17,2013-09-18,LONG,93.4666715131078,93.76867413519032,0.323,signal_entry,signal_flip,1
2013-09-19,2013-09-20,SHORT,93.76867413519032,93.76867413519032,-0.0,signal_entry,signal_flip,1
2013-09-20,2013-09-23,LONG,93.76867413519032,95.14345316335296,1.466,signal_entry,signal_flip,3
2013-09-25,2013-09-26,SHORT,95.14345316335296,92.5996264496653,2.674,signal_entry,signal_flip,1
2013-09-26,2013-09-27,LONG,92.5996264496653,92.4286463845756,-0.185,signal_entry,circuit_breaker,1
2013-10-15,2013-10-16,LONG,92.67445244643497,93.76015818488371,1.172,signal_entry,circuit_breaker,1
2013-10-30,2013-10-31,SHORT,89.86760576591394,89.04825738872843,0.912,signal_entry,circuit_breaker,1
2013-11-14,2013-11-15,SHORT,86.49834647935131,87.5340526162538,-1.197,signal_entry,circuit_breaker,1
2013-11-29,2013-12-02,SHORT,87.59383443560334,85.3280460381352,2.587,signal_entry,circuit_breaker,3
2013-12-16,2013-12-17,LONG,83.52893614871671,83.58464386904753,0.067,signal_entry,circuit_breaker,1
2013-12-31,2014-01-02,SHORT,80.64327470717387,82.80939643916346,-2.686,signal_entry,circuit_breaker,2
2014-01-16,2014-01-17,SHORT,79.6557836632876,77.95830918801849,2.131,signal_entry,circuit_breaker,1
2014-01-31,2014-02-03,SHORT,80.64167557094834,80.64167557094834,-0.0,signal_entry,circuit_breaker,3
2014-02-19,2014-02-20,LONG,86.19596672412686,85.0831925349403,-1.291,signal_entry,circuit_breaker,1
2014-03-06,2014-03-07,LONG,83.86393336967815,84.04629522978735,0.217,signal_entry,circuit_breaker,1
2014-03-21,2014-03-24,SHORT,80.9067799294938,80.86933512150284,0.046,signal_entry,circuit_breaker,3
2014-04-07,2014-04-08,LONG,80.68121707590853,81.72119109231772,1.289,signal_entry,circuit_breaker,1
2014-04-22,2014-04-23,SHORT,78.87070266617583,78.69859797411537,0.218,signal_entry,circuit_breaker,1
2014-05-07,2014-05-08,SHORT,76.9215353630337,76.98790465145932,-0.086,signal_entry,circuit_breaker,1
2014-05-22,2014-05-23,SHORT,77.72902055137992,78.2133564931201,-0.623,signal_entry,circuit_breaker,1
2014-06-06,2014-06-09,LONG,77.29435940814327,76.42861435676899,-1.12,signal_entry,circuit_breaker,3
2014-06-23,2014-06-24,LONG,77.58883943855959,77.4530053658861,-0.175,signal_entry,circuit_breaker,1
2014-07-08,2014-07-09,SHORT,79.82329021624642,79.31549073512947,0.636,signal_entry,circuit_breaker,1
